COLOR,RGB,HLS
SkyBlue,CX87CEEB,H13DB9B6
SlateBlue,CX6A5ACD,H0089488
SlateGray,CX708090,H14A8020
Snow,CXFFFAFA,H078FDFF
SpringGreen,CX00FF7F,H10D80FF
SteelBlue,CX4682B4,H1477D70
Tan,CXD2B48C,H09AAF70
Teal,CX008080,H12C40FF
Thistle,CXD8BFD8,H03CCC3E
Tomato,CXFF6347,H081A3FF
Turquoise,CX40E0D0,H12690B8
Violet,CXEE82EE,H03CB8C2
Wheat,CXF5DEB3,H09FD4C4
White,CXFFFFFF,H000FF00
WhiteSmoke,CXF5F5F5,H000F500
Yellow,CXFFFF00,H0B480FF
YellowGreen,CX9ACD32,H0C7809B
