County,FIPS,New_cases_ma7,casesPer100k,census2010pop
"Dauphin, Pennsylvania, US",42043,13.714285714,5.1,"268,100"
"Carroll, Maryland, US",24013,8.4285714286,5.0,"167,134"
"Oneida, New York, US",36065,11.571428571,4.9,"234,878"
"Macomb, Michigan, US",26099,41.285714286,4.9,"840,978"
"Lehigh, Pennsylvania, US",42077,17,4.9,"349,497"
"Clark, Washington, US",53011,20.428571429,4.8,"425,363"
"Broome, New York, US",36007,9.5714285714,4.8,"200,600"
"Richland, Ohio, US",39139,5.8571428571,4.7,"124,475"
"Cecil, Maryland, US",24015,4.7142857143,4.7,"101,108"
"Rensselaer, New York, US",36083,7.2857142857,4.6,"159,429"
"Bucks, Pennsylvania, US",42017,28.571428571,4.6,"625,249"
"Stark, Ohio, US",39151,16.857142857,4.5,"375,586"
"Franklin, Pennsylvania, US",42055,6.7142857143,4.5,"149,618"
"Deschutes, Oregon, US",41017,7,4.4,"157,733"
"Montgomery, Pennsylvania, US",42091,35.142857143,4.4,"799,874"
"Fairfax, Virginia, US",51059,47,4.3,"1,081,726"
"Monroe, New York, US",36055,32,4.3,"744,344"
"Ingham, Michigan, US",26065,11.714285714,4.2,"280,895"
"Erie, New York, US",36029,38.142857143,4.2,"919,040"
"LaSalle,Illinois,US",17099,4.7142857143,4.1,"113,924"
"Essex, Massachusetts, US",25009,30.714285714,4.1,"743,159"
"Atlantic, New Jersey, US",34001,11.285714286,4.1,"274,549"
"St. Louis, Minnesota, US",27137,8.1428571429,4.1,"200,226"
"Norfolk, Massachusetts, US",25021,27,4.0,"670,850"
"Chautauqua, New York, US",36013,5.4285714286,4.0,"134,905"
"Hampden, Massachusetts, US",25013,18.571428571,4.0,"463,490"
"Delaware, Indiana, US",18035,4.7142857143,4.0,"117,671"
"Northampton, Pennsylvania, US",42095,11.857142857,4.0,"297,735"
"Cambria, Pennsylvania, US",42021,5.7142857143,4.0,"143,679"
"Boulder, Colorado, US",08013,11.714285714,4.0,"294,567"
"Berks, Pennsylvania, US",42011,16.285714286,4.0,"411,442"
"Monmouth, New Jersey, US",34025,24.857142857,3.9,"630,380"
"Bergen, New Jersey, US",34003,35.142857143,3.9,"905,116"
"Westchester, New York, US",36119,36.285714286,3.8,"949,113"
"McLean, Illinois, US",17113,6.4285714286,3.8,"169,572"
"Winnebago, Illinois, US",17201,11.142857143,3.8,"295,266"
"Clay, Missouri, US",29047,8.2857142857,3.7,"221,939"
"Niagara, New York, US",36063,8,3.7,"216,469"
"Suffolk, New York, US",36103,55.142857143,3.7,"1,493,350"
"Bristol, Massachusetts, US",25005,19.857142857,3.6,"548,285"
"Burlington, New Jersey, US",34005,16.142857143,3.6,"448,734"
"Bay, Michigan, US",26017,3.8571428571,3.6,"107,771"
"Thurston, Washington, US",53067,9,3.6,"252,264"
"Lane, Oregon, US",41039,12.428571429,3.5,"351,715"
"Cumberland, Pennsylvania, US",42041,8.1428571429,3.5,"235,406"
"Lycoming, Pennsylvania, US",42081,4,3.4,"116,111"
"Somerset, New Jersey, US",34035,11,3.4,"323,444"
"Cumberland, Maine, US",23005,9.5714285714,3.4,"281,674"
"Shasta, California, US",06089,5.8571428571,3.3,"177,223"
"Hudson, New Jersey, US",34017,20.714285714,3.3,"634,266"
"Vigo, Indiana, US",18167,3.4285714286,3.2,"107,848"
"Erie, Pennsylvania, US",42049,8.8571428571,3.2,"280,566"
"Genesee, Michigan, US",26049,13.428571429,3.2,"425,790"
"Albany, New York, US",36001,9.5714285714,3.1,"304,204"
"Middlesex, Massachusetts, US",25017,47.142857143,3.1,"1,503,085"
"Passaic, New Jersey, US",34031,15.714285714,3.1,"501,226"
"Rockland, New York, US",36087,9.7142857143,3.1,"311,687"
"Cumberland, New Jersey, US",34011,4.8571428571,3.1,"156,898"
"Hillsborough, New Hampshire, US",33011,12.285714286,3.1,"400,721"
"Whatcom, Washington, US",53073,6.1428571429,3.1,"201,140"
"Washington, Maryland, US",24043,4.4285714286,3.0,"147,430"
"Monroe, Pennsylvania, US",42089,5,2.9,"169,842"
"Nassau, New York, US",36059,39.428571429,2.9,"1,339,532"
"Linn, Oregon, US",41043,3.4285714286,2.9,"116,672"
"Ocean, New Jersey, US",34029,16.285714286,2.8,"576,567"
"Frederick, Maryland, US",24021,6.5714285714,2.8,"233,385"
"Schenectady, New York, US",36093,4.2857142857,2.8,"154,727"
"Kitsap, Washington, US",53035,6.8571428571,2.7,"251,133"
"Luzerne, Pennsylvania, US",42079,8.7142857143,2.7,"320,918"
"Morris, New Jersey, US",34027,13.285714286,2.7,"492,276"
"Honolulu, Hawaii, US",15003,25.571428571,2.7,"953,207"
"Worcester, Massachusetts, US",25027,21.285714286,2.7,"798,552"
"Eaton, Michigan, US",26045,2.8571428571,2.7,"107,759"
"Ontario, New York, US",36069,2.8571428571,2.6,"107,931"
"Chittenden, Vermont, US",50007,4.1428571429,2.6,"156,545"
"Tazewell, Illinois, US",17179,3.5714285714,2.6,"135,394"
"Monroe, Michigan, US",26115,4,2.6,"152,021"
"Hartford, Connecticut, US",09003,23.428571429,2.6,"894,014"
"Jackson, Michigan, US",26075,4,2.5,"160,248"
"New London, Connecticut, US",09011,6.4285714286,2.3,"274,055"
"Saratoga, New York, US",36091,5.1428571429,2.3,"219,607"
"Mesa, Colorado, US",08077,3.4285714286,2.3,"146,723"
"Middlesex, Connecticut, US",09007,3.8571428571,2.3,"165,676"
"Fairfield, Connecticut, US",09001,21.285714286,2.3,"916,829"
"Macon, Illinois, US",17115,2.5714285714,2.3,"110,768"
"Orange, New York, US",36071,8.5714285714,2.3,"372,813"
"Blair, Pennsylvania, US",42013,2.8571428571,2.2,"127,089"
"Pueblo, Colorado, US",08101,3.5714285714,2.2,"159,063"
"Humboldt, California, US",06023,3,2.2,"134,623"
"Missoula, Montana, US",30063,2.4285714286,2.2,"109,299"
"Essex, New Jersey, US",34013,17.285714286,2.2,"783,969"
"Madison, Indiana, US",18095,2.8571428571,2.2,"131,636"
"Middlesex, New Jersey, US",34023,17.428571429,2.2,"809,858"
"Schuylkill, Pennsylvania, US",42107,3.1428571429,2.1,"148,289"
"Ashtabula, Ohio, US",39007,2.1428571429,2.1,"101,497"
"Jackson, Oregon, US",41029,4.2857142857,2.1,"203,206"
"Hampshire, Massachusetts, US",25015,3.2857142857,2.1,"158,080"
"Plymouth, Massachusetts, US",25023,10.142857143,2.0,"494,919"
"New Haven, Connecticut, US",09009,17.571428571,2.0,"862,477"
"Ulster, New York, US",36111,3.5714285714,2.0,"182,493"
"Windham, Connecticut, US",09015,2.2857142857,1.9,"118,428"
"Sussex, New Jersey, US",34037,2.8571428571,1.9,"149,265"
"Mercer, New Jersey, US",34021,7,1.9,"366,513"
"Lackawanna, Pennsylvania, US",42069,4,1.9,"214,437"
"Douglas, Oregon, US",41019,2,1.9,"107,667"
"St. Clair, Michigan, US",26147,3,1.8,"163,040"
"Mercer, Pennsylvania, US",42085,2.1428571429,1.8,"116,638"
"Livingston, Michigan, US",26093,3,1.7,"180,967"
"Oswego, New York, US",36075,2,1.6,"122,109"
"York, Maine, US",23031,3.1428571429,1.6,"197,131"
"Dutchess, New York, US",36027,4.7142857143,1.6,"297,488"
"Warren, New Jersey, US",34041,1.7142857143,1.6,"108,692"
"Centre, Pennsylvania, US",42027,2.2857142857,1.5,"153,990"
"Rockingham, New Hampshire, US",33015,4.1428571429,1.4,"295,223"
"Barnstable, Massachusetts, US",25001,3,1.4,"215,888"
"Wayne, Ohio, US",39169,1.5714285714,1.4,"114,520"
"Union, New Jersey, US",34039,6.5714285714,1.2,"536,499"
"Tolland, Connecticut, US",09013,1.8571428571,1.2,"152,691"
"Litchfield, Connecticut, US",09005,2.2857142857,1.2,"189,927"
"Berkshire, Massachusetts, US",25003,1.5714285714,1.2,"131,219"
"Tompkins, New York, US",36109,1,1.0,"101,564"
"Merrimack, New Hampshire, US",33013,1.2857142857,0.9,"146,445"
"St. Lawrence, New York, US",36089,0.8571428571,0.8,"111,944"
"Penobscot, Maine, US",23019,1.1428571429,0.7,"153,923"
"Strafford, New Hampshire, US",33017,0.8571428571,0.7,"123,143"
"Hunterdon, New Jersey, US",34019,0.8571428571,0.7,"128,349"
"Androscoggin, Maine, US",23001,0.7142857143,0.7,"107,702"
"Hawaii, Hawaii, US",15001,1.1428571429,0.6,"185,079"
"Maui, Hawaii, US",15009,0.8571428571,0.6,"154,834"
"Jefferson, New York, US",36045,0.4285714286,0.4,"116,229"
"Kennebec, Maine, US",23011,0.1428571429,0.1,"122,151"
"Washington, Rhode Island, US",44009,6.443259E-18,0.0,"126,979"
"Cache, Utah, US",49005,1.334892E-60,0.0,"112,656"
"Richmond, New York, US",36085,0,0.0,"468,730"
"Queens, New York, US",36081,0,0.0,"2,230,722"
"Kings, New York, US",36047,0,0.0,"2,504,700"
"Bronx, New York, US",36005,0,0.0,"1,385,108"
"Weber,Utah,US",49057,0,0.0,"231,236"
"Washington,Utah,US",49053,-5.4707E-59,-0.0,"138,115"
"Kent, Rhode Island, US",44003,-5.94762E-17,-0.0,"166,158"
"Providence, Rhode Island, US",44007,-1.50673E-15,-0.0,"626,667"
